"SYMBOL","COMPANY NAME","INDUSTRY","SERIES","ISINCODE","BSE CODE","Action"
"JMFINANCIL","JM FINANCIAL LTD.","Holding Companies","EQ","INE780C01023","523405",""
"JPASSOCIAT","JAIPRAKASH ASSOCIATES LTD.","Construction & Engineering","EQ","INE455F01025","523398",""
"JSL","JINDAL STAINLESS LTD.","Iron & Steel/Interm.Products","EQ","INE220G01021","523398",""
"JSLHISAR","Jindal Stainless (Hisar) Ltd","Iron & Steel Products","EQ","INE455T01018","523398",""
"JSWENERGY","JSW Energy Ltd","Electric Utilities","EQ","INE121E01018","533148",""
"JSWSTEEL","JSW STEEL LTD.","Iron & Steel/Interm.Products","EQ","INE019A01038","500228",""
"JUBILANT","JUBILANT LIFE SCIENCES LIMITED","Pharmaceuticals","EQ","INE700A01033","520057",""
"JUBLFOOD","Jubilant FoodWorks Ltd","Restaurants","EQ","INE797F01012","533155",""
"JUSTDIAL","JUST DIAL LTD.","Publishing","EQ","INE599M01018","535648",""
"JYOTHYLAB","Jyothy Labs Ltd","Household Products","EQ","INE668F01031","532926",""
"KAJARIACER","KAJARIA CERAMICS LTD.","Furniture-Furnishing-Paints","EQ","INE217B01036","532926",""
"KALPATPOWR","KALPATARU POWER TRANSMISSION LTD.","Heavy Electrical Equipment","EQ","INE220B01022","532926",""
"KANSAINER","KANSAI NEROLAC PAINTS LTD.","Furniture-Furnishing-Paints","EQ","INE531A01024","532926",""
"KARURVYSYA","KARUR VYSYA BANK LTD.","Banks","EQ","INE036D01028","532926",""
"KEC","KEC INTERNATIONAL LTD.","Heavy Electrical Equipment","EQ","INE389H01022","532714",""
"KEI","KEI INDUSTRIES LTD.","Other Elect.Equip./ Prod.","EQ","INE878B01027","517569",""
"KENNAMET","KENNAMETAL INDIA LTD.","Industrial Machinery","EQ","INE717A01029","505890",""
"KIOCL","KIOCL Ltd","Iron & Steel/Interm.Products","EQ","INE880L01014","540680",""
"KIRLOSENG","KIRLOSKAR OIL ENGINES LTD.","Auto Parts & Equipment","EQ","INE146L01010","500245",""
"KNRCON","KNR CONSTRUCTIONS LTD.","Construction & Engineering","EQ","INE634I01029","532942",""
"KOLTEPATIL","KOLTE-PATIL DEVELOPERS LTD.","Realty","EQ","INE094I01018","532924",""
"KOTAKBANK","KOTAK MAHINDRA BANK LTD.","Banks","EQ","INE237A01028","500247",""
"KPITTECH","KPIT Technologies Ltd","Auto Parts & Equipment","EQ","INE04I401011","542651",""
"KPRMILL","K.P.R. Mill Limited","Textiles","EQ","INE930H01023","542651",""
"KRBL","KRBL LTD.","Packaged Foods","EQ","INE001B01026","530813",""
"KSCL","KAVERI SEED COMPANY LTD.","Other Agricultural Products","EQ","INE455I01029","500249",""
"KTKBANK","KARNATAKA BANK LTD.","Banks","EQ","INE614B01018","500249",""
"L&TFH","L&T FINANCE HOLDINGS LTD.","Holding Companies","EQ","INE498L01015","533519",""
"LAKSHVILAS","LAKSHMI VILAS BANK LTD.","Banks","EQ","INE694C01018","534690",""
"LALPATHLAB","Dr. Lal PathLabs Ltd","Healthcare Services","EQ","INE600L01024","534690",""
"LAURUSLABS","Laurus Labs Ltd","Pharmaceuticals","EQ","INE947Q01010","540222",""
"LAXMIMACH","LAKSHMI MACHINE WORKS LTD.","Industrial Machinery","EQ","INE269B01029","532783",""
"LEMONTREE","Lemon Tree Hotels Ltd","Hotels","EQ","INE970X01018","532783",""
"LICHSGFIN","LIC HOUSING FINANCE LTD.","Housing Finance","EQ","INE115A01026","532783",""
"LINDEINDIA","Linde India Limited","Industrial Gases","EQ","INE473A01011","532783",""
"LT","LARSEN & TOUBRO LTD.","Construction & Engineering","EQ","INE018A01030","532783",""
"LTI","Larsen & Toubro Infotech Ltd","IT Consulting & Software","EQ","INE214T01019","532783",""
"LTTS","L&T Technology Services Ltd","Internet Software & Services","EQ","INE010V01017","532783",""
"LUPIN","LUPIN LTD.","Pharmaceuticals","EQ","INE326A01037","500257",""
"LUXIND","Lux Industries Ltd","Other Apparels & Accessories","EQ","INE150G01020","539542",""
"M&M","MAHINDRA & MAHINDRA LTD.","Cars & Utility Vehicles","EQ","INE101A01026","534532",""
"M&MFIN","MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.","Finance (including NBFCs)","EQ","INE774D01024","534532",""
"MAGMA","MAGMA FINCORP LTD.","Finance (including NBFCs)","EQ","INE511C01022","524000",""
"MAHABANK","BANK OF MAHARASHTRA","Banks","EQ","INE457A01014","532896",""
"MAHINDCIE","Mahindra CIE Automotive Limited","Other Industrial Products","EQ","INE536H01010","513554",""
"MAHLIFE","MAHINDRA LIFESPACE DEVELOPERS LTD.","Realty","EQ","INE813A01018","513554",""
"MAHLOG","Mahindra Logistics Ltd","Transportation - Logistics","EQ","INE766P01016","513554",""
"MAHSCOOTER","MAHARASHTRA SCOOTERS LTD.","Investment Companies","EQ","INE288A01013","513554",""
"MAHSEAMLES","MAHARASHTRA SEAMLESS LTD.","Construction & Engineering","EQ","INE271B01025","513554",""
"MANAPPURAM","MANAPPURAM FINANCE LTD.","Finance (including NBFCs)","EQ","INE522D01027","531213",""
"MARICO","MARICO LTD.","Personal Products","EQ","INE196A01026","531642",""
"MARUTI","MARUTI SUZUKI INDIA LTD.","Cars & Utility Vehicles","EQ","INE585B01010","532500",""
"MASFIN","MAS Financial Services Ltd","Finance (including NBFCs)","EQ","INE348L01012","540749",""
"MCDOWELL-N","United Spirits Ltd.","CONSUMER GOODS","EQ","INE854D01024","",""
"MCX","MULTI COMMODITY EXCHANGE OF INDIA LTD.","Investment Companies","EQ","INE745G01035","532654",""
"METROPOLIS","Metropolis Healthcare Ltd","Healthcare Services","EQ","INE112L01020","542650",""
"MFSL","Max Financial Services Ltd","Life Insurance","EQ","INE180A01020","542650",""
"MGL","Mahanagar Gas Ltd","Utilities:Non-Elec.","EQ","INE002S01010","542650",""
"MHRIL","MAHINDRA HOLIDAYS & RESORTS INDIA LTD.","Hotels","EQ","INE998I01010","542650",""
"MIDHANI","Mishra Dhatu Nigam Ltd","Iron & Steel Products","EQ","INE099Z01011","542650",""
"MINDACORP","Minda Corporation Ltd","Auto Parts & Equipment","EQ","INE842C01021","538962",""
"MINDAIND","MINDA INDUSTRIES LTD.","Auto Parts & Equipment","EQ","INE405E01023","532539",""
"MINDTREE","MINDTREE LTD.","IT Consulting & Software","EQ","INE018I01017","541195",""
"MMTC","MMTC LTD.","Comm.Trading  & Distribution","EQ","INE123F01029","513377",""
"MOIL","MOIL LTD.","Mining","EQ","INE490G01020","533286",""
"MOTHERSUMI","MOTHERSON SUMI SYSTEMS LTD.","Auto Parts & Equipment","EQ","INE775A01035","517334",""
"MOTILALOFS","MOTILAL OSWAL FINANCIAL SERVICES LTD.","Finance (including NBFCs)","EQ","INE338I01027","532892",""
"MPHASIS","MPHASIS LTD.","IT Consulting & Software","EQ","INE356A01018","526299",""
"MRF","MRF LTD.","Auto Tyres & Rubber Products","EQ","INE883A01011","500290",""
"MRPL","MANGALORE REFINERY & PETROCHEMICALS LTD.","Refineries/ Petro-Products","EQ","INE103A01014","500290",""
"MUTHOOTFIN","MUTHOOT FINANCE LTD.","Finance (including NBFCs)","EQ","INE414G01012","515037",""
"NAM-INDIA","Nippon Life India Asset Management Ltd","Asset Management Cos.","EQ","INE298J01013","500296",""
"NATCOPHARM","NATCO PHARMA LTD.","Pharmaceuticals","EQ","INE987B01026","500296",""
"NATIONALUM","NATIONAL ALUMINIUM CO.LTD.","Aluminium","EQ","INE139A01034","500296",""
"NAUKRI","INFO EDGE (INDIA) LTD.","Internet & Catalogue Retail","EQ","INE663F01024","500296",""
"NAVINFLUOR","Navin Fluorine International Limited-$","Commodity Chemicals","EQ","INE048G01026","500296",""
"NAVNETEDUL","Navneet Education Limited","Publishing","EQ","INE060A01024","500296",""
"NBCC","NBCC (India) Ltd","Construction & Engineering","EQ","INE095N01031","534309",""
"NBVENTURES","NAVA BHARAT VENTURES LTD.","Electric Utilities","EQ","INE725A01022","534309",""
"NCC","NCC Limited","Construction & Engineering","EQ","INE868B01028","500294",""
"NESCO","NESCO LTD.","Misc.Commercial Services","EQ","INE317F01035","505355",""
"NESTLEIND","NESTLE INDIA LTD.","Packaged Foods","EQ","INE239A01016","500790",""
"NETWORK18","Network18 Media & Investments Ltd.","MEDIA & ENTERTAINMENT","EQ","INE870H01013","",""
"NFL","NATIONAL FERTILIZERS LTD.","Fertilizers","EQ","INE870D01012","532416",""
"NH","Narayana Hrudayalaya Ltd","Healthcare Facilities","EQ","INE410P01011","532416",""
"NHPC","NHPC LTD.","Electric Utilities","EQ","INE848E01016","533098",""
"NIACL","The New India Assurance Company Ltd","General Insurance","EQ","INE470Y01017","533098",""
"NIFTY 50","","","","","",""
"NIFTY BANK","","","","","",""
"NIFTY COMMODITIES","","","","","",""
"NIFTY CONSUMPTION","","","","","",""
"NIFTY INFRA","","","","","",""
"NIFTY IT","","","","","",""
"NIFTY MEDIA","","","","","",""
"NIFTY METAL","","","","","",""
"NIFTY MIDCAP 150","","","","","",""
"NIFTY MIDCAP 50","","","","","",""
"NIFTY NEXT 50","","","","","",""
"NIFTY PHARMA","","","","","",""
"NIFTY PSE","","","","","",""
"NIFTY REALTY","","","","","",""
"NIFTY SERV SECTOR","","","","","",""
"NILKAMAL","NILKAMAL LTD.","Plastic Products","EQ","INE310A01015","590103",""
"NLCINDIA","NLC India Ltd","Electric Utilities","EQ","INE589A01014","590103",""
"NMDC","NMDC LTD.","Mining","EQ","INE584A01023","590103",""
"NTPC","NTPC LTD.","Electric Utilities","EQ","INE733E01010","590103",""
"OBEROIRLTY","OBEROI REALTY LTD.","Realty","EQ","INE093I01010","590103",""
"OFSS","ORACLE FINANCIAL SERVICES SOFTWARE LTD.","IT Consulting & Software","EQ","INE881D01027","590103",""
"OIL","OIL INDIA LTD.","Exploration & Production","EQ","INE274J01014","590103",""
"OMAXE","OMAXE LTD.","Realty","EQ","INE800H01010","590103",""
"ONGC","OIL AND NATURAL GAS CORPORATION LTD.","Exploration & Production","EQ","INE213A01029","590103",""
"ORIENTBANK","ORIENTAL BANK OF COMMERCE","Banks","","INE141A01014","",""
"ORIENTCEM","Orient Cement Ltd","Cement & Cement Products","EQ","INE876N01018","590103",""
"ORIENTELEC","Orient Electric Ltd","Consumer Electronics","EQ","INE142Z01019","590103",""
"ORIENTREF","ORIENT REFRACTORIES LTD.","Other Industrial Goods","EQ","INE743M01012","590103",""
"PAGEIND","PAGE INDUSTRIES LTD.","Other Apparels & Accessories","EQ","INE761H01022","590103",""
"PARAGMILK","Parag Milk Foods Ltd","Packaged Foods","EQ","INE883N01014","590103",""
"PCJEWELLER","PC JEWELLER LTD.","Other Apparels & Accessories","EQ","INE785M01013","590103",""
"PEL","PIRAMAL ENTERPRISES LTD.","Pharmaceuticals","EQ","INE140A01024","590103",""
"PERSISTENT","PERSISTENT SYSTEMS LTD.","IT Consulting & Software","EQ","INE262H01013","590103",""
"PETRONET","PETRONET LNG LTD.","Oil Marketing & Distribution","EQ","INE347G01014","590103",""
"PFC","POWER FINANCE CORPORATION LTD.","Finance (including NBFCs)","EQ","INE134E01011","590103",""
"PFIZER","PFIZER LTD.","Pharmaceuticals","EQ","INE182A01018","590103",""
"PGHH","PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.","Personal Products","EQ","INE179A01014","590103",""
"PGHL","Procter & Gamble Health Ltd","Pharmaceuticals","EQ","INE199A01012","590103",""
"PHILIPCARB","PHILLIPS CARBON BLACK LTD.","Carbon Black","EQ","INE602A01023","590103",""
"PHOENIXLTD","The Phoenix Mills Ltd","Realty","EQ","INE211B01039","590103",""
"PIDILITIND","PIDILITE INDUSTRIES LTD.","Specialty Chemicals","EQ","INE318A01026","590103",""
"PIIND","PI Industries Ltd","Agrochemicals","EQ","INE603J01030","590103",""
"PNB","PUNJAB NATIONAL BANK","Banks","EQ","INE160A01022","590103",""
"PNBHOUSING","PNB Housing Finance Ltd","Housing Finance","EQ","INE572E01012","590103",""
"PNCINFRA","PNC Infratech Ltd","Roads & Highways","EQ","INE195J01029","590103",""
"POLYCAB","Polycab India Ltd","Other Elect.Equip./ Prod.","EQ","INE455K01017","590103",""
"POWERGRID","POWER GRID CORPORATION OF INDIA LTD.","Electric Utilities","EQ","INE752E01010","590103",""
"PRAJIND","PRAJ INDUSTRIES LTD.","Construction & Engineering","EQ","INE074A01025","590103",""
"PRESTIGE","PRESTIGE ESTATES PROJECTS LTD.","Realty","EQ","INE811K01011","590103",""
"PRSMJOHNSN","Prism Johnson Ltd","Cement & Cement Products","EQ","INE010A01011","590103",""
"PTC","PTC INDIA LTD.","Electric Utilities","EQ","INE877F01012","590108",""
"PVR","PVR LTD.","Specialty Retail","EQ","INE191H01014","590108",""
"QUESS","Quess Corp Ltd","Diversified","EQ","INE615P01015","590108",""
"RADICO","RADICO KHAITAN LTD.","Breweries & Distilleries","EQ","INE944F01028","590108",""
"RADIOCITY","Music Broadcast Ltd","Broadcasting & Cable TV","EQ","INE919I01024","590108",""
"RAIN","Rain Industries Ltd","Petrochemicals","EQ","INE855B01025","590108",""
"RAJESHEXPO","RAJESH EXPORTS LTD.","Other Apparels & Accessories","EQ","INE343B01030","590108",""
"RALLIS","RALLIS INDIA LTD.","Agrochemicals","EQ","INE613A01020","590108",""
"RAMCOCEM","The Ramco Cements Limited","Cement & Cement Products","EQ","INE331A01037","590108",""
"RATNAMANI","RATNAMANI METALS & TUBES LTD.","Construction & Engineering","EQ","INE703B01027","590108",""
"RAYMOND","RAYMOND LTD.","Textiles","EQ","INE301A01014","590108",""
"RBLBANK","RBL Bank Ltd","Banks","EQ","INE976G01028","590108",""
"RCF","RASHTRIYA CHEMICALS & FERTILIZERS LTD.","Fertilizers","EQ","INE027A01015","590108",""
"RCOM","","","","","",""
"RECLTD","REC Ltd","Finance (including NBFCs)","EQ","INE020B01018","590108",""
"REDINGTON","REDINGTON (INDIA) LTD.","Comm.Trading  & Distribution","EQ","INE891D01026","590108",""
"RELAXO","RELAXO FOOTWEARS LTD.","Footwear","EQ","INE131B01039","590108",""
"RELCAPITAL","RELIANCE CAPITAL LTD.","Finance (including NBFCs)","EQ","INE013A01015","590108",""
"RELIANCE","RELIANCE INDUSTRIES LTD.","Integrated Oil & Gas","EQ","INE002A01018","590108",""
"RELINFRA","RELIANCE INFRASTRUCTURE LTD.","Electric Utilities","EQ","INE036A01016","590108",""
"RENUKA","SHREE RENUKA SUGARS LTD.","Sugar","EQ","INE087H01022","590108",""
"REPCOHOME","REPCO HOME FINANCE LTD.","Housing Finance","EQ","INE612J01015","590108",""
"RESPONIND","RESPONSIVE INDUSTRIES LTD.","Plastic Products","EQ","INE688D01026","590108",""
"RITES","RITES Ltd","Construction & Engineering","EQ","INE320J01015","590108",""
"RNAM","","","","","",""
"RPOWER","RELIANCE POWER LTD.","Electric Utilities","EQ","INE614G01033","590108",""
"RVNL","Rail Vikas Nigam Ltd","Construction & Engineering","EQ","INE415G01027","540081",""
"SADBHAV","SADBHAV ENGINEERING LTD.","Construction & Engineering","EQ","INE226H01026","532710",""
"SAIL","STEEL AUTHORITY OF INDIA LTD.","Iron & Steel/Interm.Products","EQ","INE114A01011","502090",""
"SANOFI","Sanofi India Ltd","Pharmaceuticals","EQ","INE058A01010","500674",""
"SAREGAMA","SAREGAMA INDIA LTD.","Movies & Entertainment","EQ","INE979A01017","532163",""
"SBICARD","SBI Cards & Payment Services Ltd.","","EQ","INE018E01016","543066",""
"SBILIFE","SBI Life Insurance Company Ltd","Life Insurance","EQ","INE123W01016","540719",""
"SBIN","STATE BANK OF INDIA","Banks","EQ","INE062A01020","540719",""
"SCHAEFFLER","Schaeffler India Ltd","Industrial Machinery","EQ","INE513A01014","505790",""
"SENSEX","","","","","",""
"SFL","Sheela Foam Ltd","Furniture-Furnishing-Paints","EQ","INE916U01025","524324",""
"SHILPAMED","SHILPA MEDICARE LTD.","Pharmaceuticals","EQ","INE790G01031","523598",""
"SHK","S H Kelkar and Company Ltd","Personal Products","EQ","INE500L01026","532776",""
"SHOPERSTOP","SHOPPERS STOP LTD.","Department Stores","EQ","INE498B01024","532638",""
"SHREECEM","SHREE CEMENT LTD.","Cement & Cement Products","EQ","INE070A01015","500387",""
"SHRIRAMCIT","SHRIRAM CITY UNION FINANCE LTD.","Finance (including NBFCs)","EQ","INE722A01011","539252",""
"SIEMENS","SIEMENS LTD.","Heavy Electrical Equipment","EQ","INE003A01024","500550",""
"SIS","Security and Intelligence Services (India) Ltd","Sp.Consumer Services","EQ","INE285J01028","523838",""
"SJVN","SJVN Ltd","Electric Utilities","EQ","INE002L01015","533206",""
"SKFINDIA","SKF India Ltd","Other Industrial Goods","EQ","INE640A01023","500472",""
"SOBHA","Sobha Limited","Realty","EQ","INE671H01015","532784",""
"SOLARINDS","SOLAR INDUSTRIES INDIA LTD.","Specialty Chemicals","EQ","INE343H01029","530943",""
"SONATSOFTW","SONATA SOFTWARE LTD.","IT Consulting & Software","EQ","INE269A01021","530943",""
"SOUTHBANK","SOUTH INDIAN BANK LTD.","Banks","EQ","INE683A01023","530943",""
"SPANDANA","Spandana Sphoorty Financial Ltd","Finance (including NBFCs)","EQ","INE572J01011","530943",""
"SPARC","SUN PHARMA ADVANCED RESEARCH COMPANY LTD.","Pharmaceuticals","EQ","INE232I01014","530943",""
"SPICEJET","SPICEJET LTD.","Airlines","EQ","INE285B01017","530943",""
"SREINFRA","SREI INFRASTRUCTURE FINANCE LTD.","Finance (including NBFCs)","EQ","INE872A01014","530943",""
"SRF","SRF LTD.","Diversified","EQ","INE647A01010","530943",""
"SRTRANSFIN","SHRIRAM TRANSPORT FINANCE CO.LTD.","Finance (including NBFCs)","EQ","INE721A01013","513605",""
"STAR","Strides Pharma Science Ltd","Pharmaceuticals","EQ","INE939A01011","580001",""
"STARCEMENT","Star Cement Ltd","Cement & Cement Products","EQ","INE460H01021","540575",""
"STRTECH","STERLITE TECHNOLOGIES LTD.","Other Telecom Services","EQ","INE089C01029","533316",""
"SUDARSCHEM","SUDARSHAN CHEMICAL INDUSTRIES LTD.","Specialty Chemicals","EQ","INE659A01023","533316",""
"SUNCLAYLTD","SUNDARAM-CLAYTON LTD.","Auto Parts & Equipment","EQ","INE105A01035","533316",""
"SUNDARMFIN","SUNDARAM FINANCE LTD.","Finance (including NBFCs)","EQ","INE660A01013","533316",""
"SUNDRMFAST","SUNDRAM FASTENERS LTD.","Auto Parts & Equipment","EQ","INE387A01021","533316",""
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD.","Pharmaceuticals","EQ","INE044A01036","533316",""
"SUNTECK","SUNTECK REALTY LTD.","Realty","EQ","INE805D01034","533316",""
"SUNTV","SUN TV NETWORK LTD.","Broadcasting & Cable TV","EQ","INE424H01027","532733",""
"SUPRAJIT","SUPRAJIT ENGINEERING LTD","Auto Parts & Equipment","EQ","INE399C01030","532509",""
"SUPREMEIND","SUPREME INDUSTRIES LTD.","Plastic Products","EQ","INE195A01028","509930",""
"SUZLON","SUZLON ENERGY LTD.","Heavy Electrical Equipment","EQ","INE040H01021","532667",""
"SWANENERGY","SWAN ENERGY LTD.","Textiles","EQ","INE665A01038","503310",""
"SWSOLAR","Sterling and Wilson Solar Ltd","Heavy Electrical Equipment","EQ","INE00M201021","532051",""
"SYMPHONY","Symphony Limited","Consumer Electronics","EQ","INE225D01027","517385",""
"SYNDIBANK","SYNDICATE BANK","Banks","","INE667A01018","",""
"SYNGENE","Syngene International Ltd","Pharmaceuticals","EQ","INE398R01022","539268",""
"TAKE","TAKE SOLUTIONS LTD.","Pharmaceuticals","EQ","INE142I01023","532890",""
"TASTYBITE","Tasty Bite Eatables Ltd.","CONSUMER GOODS","EQ","INE488B01017","",""
"TATACHEM","TATA CHEMICALS LTD.","Commodity Chemicals","EQ","INE092A01019","541545",""
"TATACOMM","TATA COMMUNICATIONS LTD.","Telecom - Alternate Carriers","EQ","INE151A01013","541545",""
"TATACONSUM","Tata Consumer Products Ltd.","CONSUMER GOODS","EQ","INE192A01025","",""
"TATAELXSI","TATA ELXSI LTD.","IT Software Products","EQ","INE670A01012","541545",""
"TATAINVEST","TATA INVESTMENT CORPORATION LTD.","Holding Companies","EQ","INE672A01018","541545",""
"TATAMOTORS","TATA MOTORS LTD.","Commercial Vehicles","EQ","INE155A01022","500570",""
"TATAMTRDVR","Tata Motors  Ltd - DVR","Commercial Vehicles","EQ","IN9155A01020","500570",""
"TATAPOWER","TATA POWER CO.LTD.","Electric Utilities","EQ","INE245A01021","500400",""
"TATASTEEL","TATA STEEL LTD.","Iron & Steel/Interm.Products","EQ","INE081A01012","500400",""
"TATASTLBSL","Tata Steel Bsl Ltd","Iron & Steel/Interm.Products","EQ","INE824B01021","500055",""
"TCIEXP","TCI Express Ltd","Transportation - Logistics","EQ","INE586V01016","540212",""
"TCNSBRANDS","TCNS Clothing Co. Ltd","Other Apparels & Accessories","EQ","INE778U01029","541700",""
"TCS","TATA CONSULTANCY SERVICES LTD.","IT Consulting & Software","EQ","INE467B01029","523301",""
"TEAMLEASE","TeamLease Services Ltd","Sp.Consumer Services","EQ","INE985S01024","539658",""
"TECHM","TECH MAHINDRA LTD.","IT Consulting & Software","EQ","INE669C01036","532755",""
"TECHNOE","Techno Electric & Engineering Company Ltd","Construction & Engineering","EQ","INE285K01026","542141",""
"THERMAX","THERMAX LTD.","Heavy Electrical Equipment","EQ","INE152A01029","500411",""
"THYROCARE","Thyrocare Technologies Ltd","Healthcare Services","EQ","INE594H01019","500411",""
"TIINDIA","Tube Investments of India Ltd","Auto Parts & Equipment","EQ","INE974X01010","536264",""
"TIMETECHNO","TIME TECHNOPLAST LTD.","Plastic Products","EQ","INE508G01029","532856",""
"TIMKEN","TIMKEN INDIA LTD.","Industrial Machinery","EQ","INE325A01013","522113",""
"TITAN","Titan Company Limited","Other Apparels & Accessories","EQ","INE280A01028","504966",""
"TORNTPHARM","TORRENT PHARMACEUTICALS LTD.","Pharmaceuticals","EQ","INE685A01028","500420",""
"TORNTPOWER","TORRENT POWER LTD.","Electric Utilities","EQ","INE813H01021","532779",""
"TRENT","TRENT LTD.","Specialty Retail","EQ","INE849A01020","500251",""
"TRIDENT","TRIDENT LTD.","Textiles","EQ","INE064C01022","521064",""
"TRITURBINE","TRIVENI TURBINE LTD.","Heavy Electrical Equipment","EQ","INE152M01016","517562",""
"TTKPRESTIG","TTK PRESTIGE LTD.","Houseware","EQ","INE690A01010","517506",""
"TV18BRDCST","TV18 BROADCAST LTD.","Broadcasting & Cable TV","EQ","INE886H01027","540762",""
"TVSMOTOR","TVS MOTOR COMPANY LTD.","2/3 Wheelers","EQ","INE494B01023","540762",""
"TVTODAY","TV TODAY NETWORK LTD.","Broadcasting & Cable TV","EQ","INE038F01029","532515",""
"UBL","UNITED BREWERIES LTD.","Breweries & Distilleries","EQ","INE686F01025","526921",""
"UCOBANK","UCO BANK","Banks","EQ","INE691A01018","532505",""
"UFLEX","UFLEX LTD.","Containers & Packaging","EQ","INE516A01017","500148",""
"UFO","UFO Moviez India Ltd","Broadcasting & Cable TV","EQ","INE527H01019","539141",""
"UJJIVAN","Ujjivan Financial Services Ltd","Finance (including NBFCs)","EQ","INE334L01012","539874",""
"ULTRACEMCO","ULTRATECH CEMENT LTD.","Cement & Cement Products","EQ","INE481G01011","532538",""
"UNIONBANK","UNION BANK OF INDIA","Banks","EQ","INE692A01016","532477",""
"UPL","UPL Limited","Agrochemicals","EQ","INE628A01036","532398",""
"VAIBHAVGBL","Vaibhav Global Ltd","Other Apparels & Accessories","EQ","INE884A01019","500254",""
"VAKRANGEE","Vakrangee Limited","Specialty Retail","EQ","INE051B01021","500254",""
"VARROC","Varroc Engineering Ltd","Auto Parts & Equipment","EQ","INE665L01035","500254",""
"VBL","Varun Beverages Ltd","Non-alcoholic Beverages","EQ","INE200M01013","533576",""
"VEDL","Vedanta Limited","Aluminium","EQ","INE205A01025","500295",""
"VENKEYS","VENKYS (INDIA) LTD.","Packaged Foods","EQ","INE398A01010","523261",""
"VGUARD","V-GUARD INDUSTRIES LTD.","Other Elect.Equip./ Prod.","EQ","INE951I01027","532953",""
"VINATIORGA","VINATI ORGANICS LTD.","Commodity Chemicals","EQ","INE410B01029","524200",""
"VIPIND","V.I.P.INDUSTRIES LTD.","Other Apparels & Accessories","EQ","INE054A01027","532613",""
"VMART","V-MART RETAIL LTD.","Department Stores","EQ","INE665J01013","534976",""
"VOLTAS","VOLTAS LTD.","Consumer Electronics","EQ","INE226A01021","500575",""
"VRLLOG","VRL Logistics Ltd","Transportation - Logistics","EQ","INE366I01010","539118",""
"VSTIND","VST INDUSTRIES LTD.","Cigarettes-Tobacco Products","EQ","INE710A01016","509966",""
"VTL","VARDHMAN TEXTILES LTD.","Textiles","EQ","INE825A01012","509966",""
"WABAG","VA TECH WABAG LTD.","Utilities:Non-Elec.","EQ","INE956G01038","509966",""
"WABCOINDIA","WABCO INDIA LTD.","Auto Parts & Equipment","EQ","INE342J01019","533023",""
"WELCORP","Welspun Corp Limited","Construction & Engineering","EQ","INE191B01025","532144",""
"WELSPUNIND","WELSPUN INDIA LTD.","Textiles","EQ","INE192B01031","514162",""
"WESTLIFE","WESTLIFE DEVELOPMENT LTD.","Restaurants","EQ","INE274F01020","505412",""
"WHIRLPOOL","WHIRLPOOL OF INDIA LTD.","Consumer Electronics","EQ","INE716A01013","500238",""
"WIPRO","WIPRO LTD.","IT Consulting & Software","EQ","INE075A01022","507685",""
"WOCKPHARMA","WOCKHARDT LTD.","Pharmaceuticals","EQ","INE049B01025","532300",""
"YESBANK","YES BANK LTD.","Banks","EQ","INE528G01027","532648",""
"ZEEL","ZEE ENTERTAINMENT ENTERPRISES LTD.","Broadcasting & Cable TV","EQ","INE256A01028","505537",""
"ZENSARTECH","ZENSAR TECHNOLOGIES LTD.","IT Consulting & Software","EQ","INE520A01027","504067",""
"ZYDUSWELL","ZYDUS WELLNESS LTD.","Packaged Foods","EQ","INE768C01010","531335",""